FIPS Code,Percent adults fully vaccinated against COVID-19,"Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Med_HH_Income_Percent_of_State_Total_2019,"Unemployment Rate, 2019","Median Household Income, 2019","Population Density, 2020","Average Household Size, 2020","Average Household Size of Owner-Occupied Unit, 2020","Average Household Size of Renter-Occupied Unit, 2020",Estimated percent of people of all ages in poverty 2019,Estimated percent of people age 0-17 in poverty 2019,Estimated percent of related children age 5-17 in families in poverty 2019,Percent Under 5 years,Percent 5 to 9 years,Percent 65 to 74 years,Percent 75 to 84 years,Percent 85 years and over,Percent 18 years and over,Percent 65 years and over,Median Age,Percent Male,Percent Female,Percent Households with 1+ Persons with Disability,Percent Total Civilian Noninstitutionalized Population - with a disability 65 and over ,Percent Total Civilian Noninstitutionalized Population - with a disability ,Percent of Households with Internet At Home,Percent Total Households with a computer ,Percent Total Households with a broadband Internet subscription ,Percent of Households with Limited English Speaking Status,Percent of Population with No Health Insurance Coverage,"Percent of Civilian Employed Population 16 Years and Over in Educational Instruction, and Library Occupations",Percent of Civilian Employed Population 16 Years and Over in Food Preparation and Serving Related Occupations,Percent of Civilian Employed Population 16 Years and Over in Healthcare Support Occupations,Percent of Civilian Employed Population 16 Years and Over in Healthcare Practitioners and Technical Occupations,"Percent of Civilian Employed Population 16 Years and Over in Natural Resources, Construction, and Maintenance Occupations",Percent of Civilian Employed Population 16 Years and Over in Protective Service Occupations,"Percent of Civilian Employed Population 16 Years and Over in Production, Transportation and Material Moving Occupations",Latitude,Longitude,Population,Average Household Size of Owner-Occupied Unit,Average Household Size of Renter-Occupied Unit,Percent Renter-occupied Units,"Percent Population Enrollment in - Nursery, Preschool",Percent Population Enrollment in - Kindergarten,Percent Population Enrollment in - Grade 1-4,Percent Population Enrollment in - Grade 5-8,Percent Population Enrollment in - Grade 9-12,Percent Population Enrollment in - College,Percent Population Enrollment in - Grad/Prof,Percent Population Enrollment in - Elementary school (grades 1-8),Percent Population Enrollment in - High school (grades 9-12),Percent Population Enrollment in - College or graduate school,Percent Grandparents responsible for grandchildren,Percent Total Households - With Supplemental Security Income,Percent Total Households - With cash public assistance income,Percent Total Households - With Food Stamp/SNAP benefits in the past 12 months,Percent Total Population - Worked at home,Percent population with Income to Poverty Ratio < 0.50,Percent population with Income to Poverty Ratio 0.50-0.99,Percent population with Income to Poverty Ratio 1.00-1.24,Percent population with Income to Poverty Ratio 1.50-1.84,Percent population with Income to Poverty Ratio 1.85-1.99,Percent population with Income to Poverty Ratio 2.00+,"Percentage of families whose income in the past 12 months is below the poverty level with female householder, no husband present) - With related children of the householder under 18 years","Percentage of families whose income in the past 12 months is below the poverty level with female householder, no husband present) - With related children of the householder under 5 years only",Percentage of people whose income in the past 12 months is below the poverty level - 65 years and over,Percentage of people whose income in the past 12 months is below the poverty level - Related children of the householder under 5 years,Percent Households: Income Below Poverty Level ,Percentage of people whose income in the past 12 months is below the poverty level,Percent of Civilian noninstitutionalized population with Health Coverage,Percent of Total Civilian Noninstitutionalized Population - With health insurance coverage,Percent of Total Civilian Noninstitutionalized Population - With private health insurance,Percent of Total Civilian Noninstitutionalized Population - With public coverage,Percent of Total Civilian Noninstitutionalized Population - No health insurance coverage
13061,0.152,19.98179245,36.27674103,31.22439766,12.51706886,0.0037,0,0.0102,0.6239,0,0.3541,39.92251968,7,24732,9.222988945,2.77,2.8,2.72,28.8,41.9,41,0.037614368,0.051507963,0.137919349,0.090816672,0.029481532,0.808878346,0.258217553,49.8,0.483564893,0.516435107,36.9,47.16225613,101.3559759,69.3,169.6126229,141.8297666,0,16,7.5,8.4,3.1,4.1,8.6,3.6,15.2,31.6263,-84.9801,2951,2.4,2.15,27.1,0.009149441,0.017960014,0.043713995,0.0447306,0.064384954,0.032531345,0.013554727,0.088444595,0.064384954,0.046086073,0.037614368,3.066666667,0.328395062,0.032098765,0.023381904,0.139952558,0.24771264,0.097932904,0.090138936,0.030837004,0.333107421,50.7,0,23.7,80.2,32.4,39.5,0.982039986,0.825144019,0.427651644,0.556082684,0.156895967
28051,0.365,23.2142849,40.95298767,25.65597725,10.17674923,0.0017,0,0.0007,0.8399,0,0.1543,57.36805344,10.4,26348,1.681499839,3.63,3.19,4.01,33.8,45.2,41.5,0.067937081,0.079889497,0.082313807,0.04724587,0.015673451,0.740767886,0.145233128,34.7,0.478265772,0.521734228,37.6,122.5343914,396.551786,42.6,454.6699915,291.2539727,0,16.1,5.9,5.9,6.7,6.9,2.5,2.2,28.6,33.1235,-90.0921,17737,2.87,2.58,38.7,0.021762418,0.015335175,0.060382252,0.061566218,0.053955009,0.079945876,0.002255173,0.121948469,0.053955009,0.082201049,0.015955348,3.71875,0.712740385,0.135817308,0.006483622,0.217116762,0.188927102,0.075379151,0.08626036,0.024750522,0.281220048,62.7,57.4,25.3,54.7,43.5,42.4,0.99002086,0.830185488,0.370919547,0.536223713,0.159835372
46017,0.436,21.87802505,39.59341812,30.00967979,8.518877029,0.0415,0.81,0,0.0015,0,0.1367,44.14705276,6,26671,8.397803352,2.34,2.38,2.24,39.8,46.3,44.3,0.113524186,0.102171767,0.051826259,0.016288253,0.003948667,0.62142152,0.072063179,25.8,0.497532083,0.502467917,38.3,35.55532804,171.1476807,54.3,238.6425408,181.995069,0.5,39.3,1.5,8.3,0.7,0.7,3.2,6.5,6.2,44.0763,-99.2048,2026,3.13,3.97,53.7,0.043928924,0.021224087,0.083415597,0.080454097,0.089338598,0.016288253,0.003455084,0.163869694,0.089338598,0.019743337,0.063178677,1.978947368,0.266666667,0.364912281,0.013326752,0.248766041,0.143139191,0.054787759,0.113524186,0.053800592,0.290720632,55.1,64,26,51.1,38.7,39.7,1,0.607107601,0.203849951,0.436327739,0.392892399
13269,0.197,21.50556564,37.53313446,28.32655907,12.63474083,0.0262,0,0.0184,0.3796,0,0.5732,45.57546234,4.2,28234,7.877689387,2.66,2.51,2.9,22.9,32.1,30.8,0.050394283,0.050887137,0.114218827,0.048546082,0.032035485,0.795835387,0.194800394,45.2,0.475973386,0.524026614,35.6,84.14602806,185.3616789,61.7,305.5702905,256.4049683,0.7,17.5,8.1,1.4,1.9,6,3.7,3.4,21.8,32.5555,-84.2505,8116,2.42,2.03,29.5,0.006407097,0.013923115,0.04558896,0.043740759,0.062838837,0.04484968,0.008748152,0.089329719,0.062838837,0.053597831,0.03474618,4.047785548,0.395104895,0.092074592,0.007639231,0.128388369,0.126293741,0.083661902,0.059881715,0.015032035,0.476219813,26.8,45.6,28.5,52.9,24.1,25.8,0.991375062,0.817397733,0.535608674,0.418925579,0.173977329
28053,0.338,30.1499176,33.75902176,23.30186844,12.78919125,0.0331,0.0029,0.0008,0.7565,0.0005,0.2062,61.9752655,10.4,28464,5.028100131,2.83,2.95,2.58,37.1,55.3,47.9,0.061270712,0.09166766,0.094409346,0.046727858,0.022171892,0.731910836,0.163309095,38.3,0.478126118,0.521873882,39.9,77.39711774,237.6181962,60.9,317.9871565,250.6684615,0,16.3,6.8,5.5,3.1,4.9,3.4,3.7,26.9,33.1287,-90.5266,8389,2.53,2.73,38.1,0.016569317,0.014542854,0.08046251,0.061032304,0.055310526,0.035165097,0.003695315,0.141494815,0.055310526,0.038860412,0.021933484,2.768027802,0.517810599,0.051259774,0.005364167,0.149123853,0.210871379,0.109190607,0.06282036,0.032185004,0.350697342,65.4,43.8,23.9,58.2,31.6,36.4,0.989271665,0.827989033,0.315651448,0.568959352,0.161282632
1063,0.331,20.78370476,38.61557007,30.48506737,10.11565685,0.0174,0.0044,0,0.7946,0,0.1724,55.43450928,5.6,28699,8.729023441,2.63,2.77,2.32,31.7,45.8,44.1,0.06943777,0.066914945,0.118692936,0.074843825,0.019461797,0.773666506,0.212998558,40.9,0.462037482,0.537962518,48.3,202.5272407,410.4901031,51.4,369.4209609,304.998777,0.2,12.8,5.5,4,3.4,0.9,3.3,6.2,31.4,32.8531,-87.9522,8324,2.87,2.66,32.9,0.01213359,0.02402691,0.06018741,0.030994714,0.048534358,0.024747717,0.003483902,0.091182124,0.048534358,0.028231619,0.02006247,2.570557491,0.343205575,0.080139373,0.008529553,0.206391158,0.170831331,0.097068717,0.079048534,0.020422874,0.35031235,61.1,74.4,27,25.7,34.5,38.1,0.9933926,0.86641038,0.478255646,0.553099471,0.12698222
21189,0.345,31.23988342,36.80802917,15.79799271,16.1540947,0,0,0.0016,0.0547,0,0.9343,54.97359085,7,28727,13.90876411,2.29,2.31,2.21,35.5,43.6,43.3,0.079918955,0.043223773,0.11143629,0.05718145,0.021386763,0.797838811,0.190004502,43.4,0.454299865,0.545700135,53.6,48.45848811,146.2962907,63,140.8864357,122.7001148,0,3.5,9.7,2.1,1.7,10.5,2.6,7.1,10.6,37.4192,-83.6831,4442,2.75,2.15,31.6,0.017784782,0.015533543,0.033318325,0.032192706,0.039621792,0.021386763,0.016659163,0.065511031,0.039621792,0.038045925,0.030166592,2.531946508,0.734026746,0.135215453,0.009230077,0.095677623,0.19810896,0.05425484,0.119765871,0.043223773,0.418280054,43.9,31,28.3,16.7,36.1,30.3,0.981314723,0.947321027,0.312922107,0.723998199,0.033993697
54047,0.197,31.36207199,47.03944778,16.21166611,5.386811256,0.0145,0.0025,0.0007,0.0831,0,0.887,59.81627274,9.2,29106,5.547014404,2.4,2.55,2.11,33.8,44.2,41.9,0.055034564,0.058303414,0.124859332,0.063394245,0.019398746,0.794866299,0.207652323,45,0.514173946,0.485826054,59.8,177.2502349,435.6476116,65.9,425.0599827,369.234303,0,6,6.8,6.7,3.2,7.7,3.5,6.8,16.2,37.3785,-81.6536,18661,2.25,2.32,21.3,0.007663041,0.013986389,0.039279781,0.038475966,0.055302503,0.016076309,0.00139328,0.077755747,0.055302503,0.017469589,0.02582927,2.892395437,0.457034221,0.094296578,0.005894647,0.14538342,0.1602808,0.080113606,0.080274369,0.034671239,0.348320026,59.2,70.8,13.1,62.9,30.8,33.2,0.924280585,0.86881732,0.371416323,0.648732651,0.055463266
1119,0.33,13.30365944,35.36103058,29.7725029,21.56280899,0.0053,0.0007,0.0214,0.7192,0,0.2481,56.4196167,4.6,29209,7.02780924,2.36,2.46,2.22,36.4,45.3,44.4,0.05587247,0.058763773,0.095803704,0.059701493,0.019066969,0.806986012,0.174572165,35.6,0.463155427,0.536844573,44,213.2912507,532.3134987,63.4,692.0075483,600.7276734,1.7,12.5,6.3,6.6,3,4.6,3.7,5.3,17.4,32.5911,-88.1988,12797,2.53,1.86,35.9,0.017972962,0.008517621,0.05774791,0.02781902,0.051262015,0.129092756,0.015706806,0.08556693,0.051262015,0.144799562,0.011408924,3.637762238,0.515384615,0.037762238,0.005157459,0.143002266,0.152535751,0.063296085,0.064858951,0.060170352,0.388997421,63.4,83.6,26.2,38.3,35.9,31.8,0.989763226,0.865671642,0.515355161,0.477690084,0.124091584
28119,0.292,28.66597748,31.06514931,29.96897697,10.29989624,0.0122,0,0.0022,0.7202,0,0.2603,63.83469772,8.4,29318,5.089327131,2.82,2.89,2.62,35,51.8,48.5,0.062334771,0.066926395,0.0971198,0.050647002,0.018366495,0.764157507,0.166133296,38.7,0.467789064,0.532210936,32.5,64.80383139,167.7018069,58.9,325.3327481,258.9234164,0,17.4,3.1,7,3.9,4.3,3.6,7.1,22.6,34.2514,-90.2891,7187,2.35,2.27,41.3,0.019757896,0.01168777,0.053568944,0.052873243,0.055934326,0.03631557,0.00055656,0.106442187,0.055934326,0.03687213,0.026436622,3.005958292,0.454816286,0.065541212,0.011409489,0.176290525,0.17114234,0.067343815,0.102963684,0.025462641,0.325031307,59.9,6.5,22.5,42.3,36.4,35.6,0.976346181,0.806456101,0.328648949,0.539307082,0.169890079
